Runtime,ValuesRange,UseSort,InputSize,Consumer,Mean,Error,StdDev,Gen0,Gen1,Gen2,Allocated
Core31,100000000,FALSE,100000,Array,23.339,7.661,5.068,0,0,0,517.53
Core50,100000000,FALSE,100000,Array,22.003,3.683,2.436,0,0,0,517.31
Core31,100000000,FALSE,100000,ConcurrentDictionary,19.807,11.055,7.312,0,0,0,517.53
Core50,100000000,FALSE,100000,ConcurrentDictionary,19.66,7.301,4.829,0,0,0,517.31
Core31,100000000,FALSE,100000,Dictionary,40.443,7.725,5.11,0,0,0,517.53
Core50,100000000,FALSE,100000,Dictionary,37.575,4.361,2.885,0,0,0,517.31
Core31,100000000,FALSE,100000,LinkedList,17.178,7.488,4.953,0,0,0,5205.03
Core50,100000000,FALSE,100000,LinkedList,15.648,3.982,2.634,0,0,0,5204.81
Core31,100000000,FALSE,100000,List,14.067,6.324,4.183,0,0,0,8709.55
Core50,100000000,FALSE,100000,List,12.586,3.875,2.563,0,0,0,8709.34
Core31,100000000,FALSE,100000,Void,11.29,6.443,4.261,0,0,0,517.53
Core50,100000000,FALSE,100000,Void,9.744,4.451,2.944,0,0,0,517.31
Core31,100000000,FALSE,1000000,Array,204.687,15.879,10.503,0,0,0,4102.84
Core50,100000000,FALSE,1000000,Array,198.972,15.182,10.042,0,0,0,4102.63
Core31,100000000,FALSE,1000000,ConcurrentDictionary,272.153,48.323,31.963,0,0,0,4102.84
Core50,100000000,FALSE,1000000,ConcurrentDictionary,279.906,44.076,29.154,0,0,0,4103.12
Core31,100000000,FALSE,1000000,Dictionary,352.211,16.301,10.782,0,0,0,4102.96
Core50,100000000,FALSE,1000000,Dictionary,341.431,12.326,8.153,0,0,0,4102.85
Core31,100000000,FALSE,1000000,LinkedList,146.07,23.261,15.385,0,0,0,50977.84
Core50,100000000,FALSE,1000000,LinkedList,143.389,19.521,12.912,0,0,0,50977.63
Core31,100000000,FALSE,1000000,List,125.592,22.154,14.654,0,0,0,4102.84
Core50,100000000,FALSE,1000000,List,120.348,11.167,7.387,0,0,0,4102.63
Core31,100000000,FALSE,1000000,Void,93.962,18.518,12.249,0,0,0,4103.1
Core50,100000000,FALSE,1000000,Void,88.878,27.225,18.008,0,0,0,4102.63
Core31,100000000,FALSE,5000000,Array,980.425,44.942,29.726,0,0,0,32776.2
Core50,100000000,FALSE,5000000,Array,981.478,40.777,26.972,0,0,0,32776.05
Core31,100000000,FALSE,5000000,ConcurrentDictionary,1658.26,313.878,207.611,0,0,0,32776.2
Core50,100000000,FALSE,5000000,ConcurrentDictionary,1722.28,401.373,265.483,0,0,0,32776.26
Core31,100000000,FALSE,5000000,Dictionary,1743.56,35.194,23.279,0,0,0,32776.2
Core50,100000000,FALSE,5000000,Dictionary,1683.59,35.817,23.691,0,0,0,32776.05
Core31,100000000,FALSE,5000000,LinkedList,714.136,52.142,34.489,0,0,0,267151.27
Core50,100000000,FALSE,5000000,LinkedList,728.167,68.654,45.41,0,0,0,267151.16
Core31,100000000,FALSE,5000000,List,584.977,75.05,49.641,0,0,0,32776.31
Core50,100000000,FALSE,5000000,List,563.362,90.366,59.772,0,0,0,32776.05
Core31,100000000,FALSE,5000000,Void,449.926,124.669,82.461,0,0,0,32776.31
Core50,100000000,FALSE,5000000,Void,447.67,118.634,78.469,0,0,0,32776.15
Core31,100000000,FALSE,10000000,Array,2010.30,129.151,85.426,0,0,0,65544.63
Core50,100000000,FALSE,10000000,Array,2019.75,124.562,82.39,0,0,0,65544.6
Core31,100000000,FALSE,10000000,ConcurrentDictionary,3486.99,902.891,597.207,0,0,0,65544.83
Core50,100000000,FALSE,10000000,ConcurrentDictionary,3478.56,720.984,476.886,0,0,0,65544.75
Core31,100000000,FALSE,10000000,Dictionary,3592.67,49.253,32.578,0,0,0,65544.75
Core50,100000000,FALSE,10000000,Dictionary,3343.61,36.494,24.139,0,0,0,65544.6
Core31,100000000,FALSE,10000000,LinkedList,1607.26,277.867,183.792,2000,1000,0,534294.63
Core50,100000000,FALSE,10000000,LinkedList,1519.70,193.721,128.135,2000,1000,0,534294.6
Core31,100000000,FALSE,10000000,List,1151.52,213.922,141.496,0,0,0,65544.63
Core50,100000000,FALSE,10000000,List,1117.30,189.632,125.43,0,0,0,65544.48
Core31,100000000,FALSE,10000000,Void,865.467,240.326,158.961,0,0,0,65544.63
Core50,100000000,FALSE,10000000,Void,893.491,218.664,144.633,0,0,0,65544.98
Core31,100000000,TRUE,100000,Array,317.729,23.477,15.528,0,0,0,781772.62
Core50,100000000,TRUE,100000,Array,312.179,13.941,9.221,0,0,0,781767.66
Core31,100000000,TRUE,100000,ConcurrentDictionary,25.028,10.501,6.946,0,0,0,13401.28
Core50,100000000,TRUE,100000,ConcurrentDictionary,24.497,7.961,5.265,0,0,0,13402.14
Core31,100000000,TRUE,100000,Dictionary,626.308,20.64,13.652,0,0,0,1172397.8
Core50,100000000,TRUE,100000,Dictionary,660.582,16.402,10.849,0,0,0,1172392.66
Core31,100000000,TRUE,100000,LinkedList,20.537,6.292,4.162,0,0,0,9502.02
Core50,100000000,TRUE,100000,LinkedList,18.909,3.562,2.356,0,0,0,9501.8
Core31,100000000,TRUE,100000,List,15.512,6.099,4.034,0,0,0,13006.55
Core50,100000000,TRUE,100000,List,13.775,3.478,2.301,0,0,0,13006.33
Core31,100000000,TRUE,100000,Void,11.316,5.86,3.876,0,0,0,517.53
Core50,100000000,TRUE,100000,Void,9.857,4.801,3.176,0,0,0,517.31
Core31,100000000,TRUE,1000000,Array,516.875,16.981,11.232,0,0,0,785357.93
Core50,100000000,TRUE,1000000,Array,535.957,16.314,10.791,0,0,0,785353.02
Core31,100000000,TRUE,1000000,ConcurrentDictionary,330.858,50.703,33.537,0,0,0,132367.77
Core50,100000000,TRUE,1000000,ConcurrentDictionary,329.067,38.978,25.782,0,0,0,132360.73
Core31,100000000,TRUE,1000000,Dictionary,979.814,18.415,12.18,0,0,0,1175978.84
Core50,100000000,TRUE,1000000,Dictionary,941.51,17.233,11.399,0,0,0,1175977.97
